"","Geo_FIPS","density","PConeUnit","PCcommutingNotCar","PClessHighSchool","PCsomeCollegeOrMore","PCdoctorate","PCmarriedCouple","PCwithKids","PCunmarriedSSCouple","PCsexMale","medianAge","PCraceWhiteAlone","PCraceBlackAlone","PCraceAsianAlone","PCraceHispanic","PCforeignBorn","PCownerOccUnits","PCwithInterests","perCapitaIncome","PCunemployed","PCpoorStruggling","PCveryWealthyHHolds","PCmovedWithinCounty","medianYearBuilt","year","cluster"
"190",6001434000,10430.28,0.532160194174757,0.12263099219621,0.261038502296009,0.277287177675733,0.00176616036736136,0.371499688861232,0.449284380833852,0.00871188550093342,0.488301559792028,30.9,0.427859618717504,0.182192374350087,0.093370883882149,0.367417677642981,0.256282495667244,0.406969508400747,0.227753578095831,16112,0.069,0.389150414705223,0.015556938394524,0.625473484848485,1959,2000,6
"191",6001435101,465.8987,0.535834411384217,0.120183001935597,0.123234725732124,0.288687379218076,0.00891928051137208,0.557814149947202,0.40337909186906,0.0110876451953537,0.494092069193686,32.8,0.455619623782966,0.126666036487381,0.248889309008413,0.173740429152094,0.288685130919747,0.538542766631468,0.432418162618796,30393,0.0427110817941952,0.155819477434679,0.0562302006335797,0.573838928509306,1983,2000,2
"192",6001435102,3009.702,0.66189111747851,0.154899135446686,0.0441400304414003,0.327245053272451,0.0395738203957382,0.526744186046512,0.291860465116279,0.0133720930232558,0.464321208507255,33.3,0.519976147883125,0.156231365533691,0.21506658715961,0.102961637845359,0.183462532299742,0.687209302325581,0.453488372093023,31828,0.0757180156657963,0.158518199440017,0.0790697674418605,0.374299439551641,1983,2000,2
"193",6001435200,4976.183,0.961760461760462,0.0654849827671098,0.120549876630243,0.412759957701798,0.0137469157560804,0.579528718703976,0.43740795287187,0.00883652430044183,0.493091948546927,36.7,0.43044306812768,0.301572177227251,0.115054787994283,0.147689375893283,0.164363982848976,0.793078055964654,0.416789396170839,25391,0.0510715914272686,0.194234058148058,0.00589101620029455,0.750500333555704,1971,2000,2
"194",6001435300,9482.235,0.572434017595308,0.0939306358381503,0.211570247933884,0.341157024793388,0.011900826446281,0.404589371980676,0.388888888888889,0.0138888888888889,0.487571701720841,33.6,0.472700233694498,0.19949012109624,0.0873167622689611,0.25260250690461,0.201189717442108,0.403381642512077,0.301328502415459,22473,0.0624721106648818,0.174932371505861,0.016304347826087,0.595317725752508,1964,2000,2
"195",6001435400,8463.373,0.369519832985386,0.119625137816979,0.237255530618788,0.298813722346906,0.00352677140109009,0.273987798114254,0.29450915141431,0.00610094287298946,0.478121420389462,35.8,0.524398625429553,0.183734249713631,0.0843069873997709,0.275372279495991,0.212600229095074,0.201331114808652,0.292845257903494,20201,0.157013574660633,0.349491605580516,0.0110926234054354,0.677833868747132,1961,2000,6
"196",6001435500,9385.543,0.508218277449047,0.090153452685422,0.328073089700997,0.274086378737542,0.00498338870431894,0.344566712517194,0.323933975240715,0.00825309491059147,0.487818083378452,34.2,0.584731997834326,0.105576610720087,0.0714672441797509,0.331077422847861,0.252301028695181,0.33837689133425,0.294360385144429,17181,0.0492581602373887,0.362338731814439,0,0.638926174496644,1955,2000,6
"197",6001435600,12125.06,0.67170626349892,0.101846965699208,0.315098468271335,0.283285642147787,0.0033664366268305,0.416058394160584,0.423357664233577,0.0133291018724215,0.51679966400672,31.6,0.530344393112138,0.0999580008399832,0.0686686266274674,0.427446451070979,0.275409491810164,0.328149793716281,0.201205966359886,16875,0.10469068660775,0.347709473232486,0.0025388765471279,0.737655995659251,1959,2000,6
"198",6001435700,8284.256,0.781147000659196,0.0983606557377049,0.197377746279235,0.334514528703047,0.00283486888731396,0.540994623655914,0.385752688172043,0.00940860215053763,0.487921549868453,36.2,0.579526429083951,0.0578808897392968,0.133939248983497,0.29801482898828,0.208084190385075,0.69489247311828,0.344086021505376,20396,0.0308704453441296,0.201294033069734,0.010752688172043,0.745310245310245,1956,2000,2
"199",6001435800,9789.118,0.948410317936413,0.0879363676535572,0.212629652226968,0.323062843197071,0.0012202562538133,0.575702075702076,0.435897435897436,0.00793650793650794,0.487087802940008,35.6,0.602105681366706,0.0299960270162892,0.195073500198649,0.250099324592769,0.261223678982916,0.813186813186813,0.372405372405372,21092,0.0294736842105263,0.174770825029892,0.00854700854700855,0.686404833836858,1947,2000,2
"200",6001435900,5153.165,0.983480825958702,0.058435438265787,0.169267707082833,0.37875150060024,0.00150060024009604,0.615155131264916,0.362171837708831,0.00894988066825776,0.472078056881877,40.6,0.631305791986714,0.0190990242889765,0.198048577953083,0.17604318040274,0.188706663898692,0.878878281622912,0.492840095465394,24059,0.0358391608391608,0.131188635888866,0.013126491646778,0.718801996672213,1955,2000,2
"201",6001436000,8571.133,0.981417756366139,0.0554666666666667,0.155839545615903,0.320553780617678,0,0.609090909090909,0.413286713286713,0.00699300699300699,0.49035747883349,37.7,0.711194731890875,0.0157572906867357,0.0945437441204139,0.25211665098777,0.146989651928504,0.84965034965035,0.430769230769231,22508,0.0479960415635824,0.109360301034807,0.0125874125874126,0.724458204334365,1954,2000,2
"202",6001436100,9927.938,0.74076179647527,0.074147305981216,0.220538199814414,0.296009897927621,0.00340241261985772,0.522543352601156,0.386127167630058,0.0069364161849711,0.487379437718038,37,0.602093166427252,0.0398112045967576,0.154319720911143,0.276831520623846,0.261645803406526,0.636994219653179,0.395375722543353,20166,0.0485661424606846,0.215815485996705,0.0132947976878613,0.726602800294768,1955,2000,2
"203",6001436200,13554.61,0.511818181818182,0.0668563300142248,0.314077669902913,0.295145631067961,0.00242718446601942,0.433644859813084,0.502803738317757,0.00654205607476636,0.487987987987988,29.7,0.423123123123123,0.144444444444444,0.121321321321321,0.386186186186186,0.274174174174174,0.188785046728972,0.153271028037383,16824,0.0644955300127714,0.368177613320999,0.0121495327102804,0.682475419317525,1964,2000,6
"204",6001436300,9253.854,0.567248459958932,0.122334004024145,0.436766275346852,0.242262540021345,0.00240128068303095,0.447046301224055,0.49654071314529,0.0069185737094199,0.518814675446849,28.3,0.429444967074318,0.0929758544998432,0.0899968642207589,0.551583568516776,0.441988084038884,0.261309207025013,0.157530601383715,17124,0.0651162790697674,0.359681274900398,0.0127727514635444,0.729482071713147,1958,2000,6
"205",6001436401,5949.901,0.602936155684534,0.0996563573883162,0.137661803986028,0.356482432710088,0.0168481610848572,0.421579135405502,0.324044301536263,0.00964630225080386,0.496710986703989,36.3,0.608397480755773,0.12890132960112,0.0897130860741777,0.207277816655003,0.149195241427572,0.521614862450875,0.361557699178278,24656,0.0459677419354839,0.210771182856337,0.00678813862093605,0.6681240063593,1961,2000,2
