"","cluster","Geo_FIPS"
"109",0,6001432800
"110",0,6001410100
"111",0,6001410200
"112",0,6001410300
"113",0,6001410400
"114",1,6001420100
"115",0,6001420200
"116",0,6001420300
"117",0,6001420400
"118",2,6001420400
"119",0,6001420500
"120",1,6001420600
"121",1,6001421100
"122",1,6001421200
"123",1,6001421300
"124",1,6001421400
"125",1,6001421200
"126",1,6001421500
"127",1,6001421600
"128",0,6001421700
"129",1,6001421800
"130",0,6001421900
"131",2,6001422000
"132",2,6001422100
"133",2,6001422200
"134",0,6001422300
"135",2,6001422400
"136",2,6001422500
"137",2,6001422700
"138",3,6001422800
"139",2,6001422900
"140",0,6001423000
"141",2,6001423100
"142",2,6001423200
"143",2,6001423300
"144",2,6001423400
"145",2,6001423500
"146",0,6001423601
"147",2,6001423602
"148",0,6001423700
"149",1,6001423800
"150",2,6001423901
"151",0,6001423902
"152",2,6001424001
"153",2,6001424002
"154",1,6001426100
"155",1,6001426200
"156",0,6001427100
"157",2,6001427200
"158",0,6001427300
"159",2,6001427600
"160",0,6001427700
"161",0,6001427800
"162",0,6001427900
"163",6,6001428000
"164",0,6001428100
"165",0,6001428200
"166",0,6001428301
"167",0,6001428302
"168",6,6001428400
"169",0,6001428500
"170",0,6001428600
"171",0,6001430200
"172",0,6001430800
"173",0,6001430100
"174",0,6001430300
"175",0,6001430400
"176",0,6001430500
"177",0,6001430500
"178",0,6001430600
"179",0,6001430700
"180",0,6001430700
"181",0,6001431000
"182",0,6001430900
"183",0,6001430200
"184",0,6001430800
"185",0,6001430900
"186",0,6001431000
"187",0,6001431100
"188",0,6001431200
"189",0,6001432100
"190",0,6001410000
"191",0,6001432200
"192",0,6001409300
"193",0,6001432300
"194",0,6001409200
"195",0,6001409000
"196",0,6001432400
"197",0,6001432600
"198",0,6001432700
"199",0,6001430400
"200",0,6001432800
"201",0,6001410000
"202",0,6001432800
"203",0,6001433000
"204",0,6001433102
"205",0,6001433200
"206",0,6001433300
"207",0,6001433400
"208",0,6001435900
"209",0,6001433500
"210",0,6001433600
"211",0,6001433700
"212",0,6001433200
"213",0,6001433800
"214",0,6001433900
"215",0,6001434000
"216",0,6001435102
"217",0,6001435200
"218",0,6001435300
"219",0,6001435400
"220",0,6001436500
"221",0,6001435500
"222",0,6001435700
"223",0,6001435800
"224",0,6001435900
