"","Geo_FIPS","cl2000","cl2010","cl2014","change","traj"
"533",6075023102,3,3,3,0,"traj0"
"534",6075023103,3,3,3,0,"traj0"
"535",6075023200,3,3,3,0,"traj0"
"536",6075023300,11,9,9,2.07,"traj0"
"537",6075023400,3,6,6,2.31,"traj0"
"538",6075025100,11,7,7,3,"traj2"
"539",6075025200,11,7,7,3,"traj2"
"540",6075025300,11,7,11,6,"traj0"
"541",6075025401,11,11,11,0,"traj0"
"542",6075025402,11,7,7,3,"traj2"
"543",6075025403,11,11,11,0,"traj0"
"544",6075025500,11,11,11,0,"traj0"
"545",6075025600,11,11,11,0,"traj0"
"546",6075025800,11,11,11,0,"traj0"
"547",6075025900,11,11,11,0,"traj0"
"548",6075026001,11,11,11,0,"traj0"
"549",6075026002,11,11,11,0,"traj0"
"550",6075026003,11,11,11,0,"traj0"
"551",6075026004,11,11,11,0,"traj0"
"552",6075026100,11,11,11,0,"traj0"
"553",6075026200,11,11,11,0,"traj0"
"554",6075026301,11,11,11,0,"traj0"
"555",6075026302,11,11,11,0,"traj0"
"556",6075026303,11,11,11,0,"traj0"
"557",6075026401,11,11,11,0,"traj0"
"558",6075026402,11,11,11,0,"traj0"
"559",6075026403,11,11,11,0,"traj0"
"560",6075026404,11,11,11,0,"traj0"
"561",6075030101,7,7,7,0,"traj0"
"562",6075030102,1,7,7,2.31,"traj2"
"563",6075030201,7,7,7,0,"traj0"
"564",6075030202,7,7,7,0,"traj0"
"565",6075030301,7,7,7,0,"traj0"
"566",6075030302,1,11,11,3,"traj0"
"567",6075030400,1,1,1,0,"traj0"
"568",6075030500,1,1,1,0,"traj0"
"569",6075030600,1,1,1,0,"traj0"
"570",6075030700,1,1,1,0,"traj0"
"571",6075030800,1,1,1,0,"traj0"
"572",6075030900,1,1,1,0,"traj0"
"573",6075031000,1,7,11,5.31,"traj0"
"574",6075031100,11,7,7,3,"traj2"
"575",6075031400,11,11,11,0,"traj0"
"576",6075032700,11,11,11,0,"traj0"
"577",6075033000,11,11,11,0,"traj0"
"578",6075033100,1,14,11,5.63,"traj0"
"579",6075033201,10,10,10,0,"traj0"
"580",6075035100,11,11,11,0,"traj0"
"581",6075035201,11,11,11,0,"traj0"
"582",6075035202,7,7,7,0,"traj0"
"583",6075035300,11,11,11,0,"traj0"
"584",6075035400,11,11,11,0,"traj0"
"585",6075040100,7,7,7,0,"traj0"
"586",6075040200,7,7,7,0,"traj0"
"587",6075042700,7,7,7,0,"traj0"
"588",6075042800,1,1,1,0,"traj0"
"589",6075045100,7,7,7,0,"traj0"
"590",6075045200,7,7,7,0,"traj0"
"591",6075047600,7,7,7,0,"traj0"
"592",6075047701,7,7,7,0,"traj0"
"593",6075047702,7,7,7,0,"traj0"
"594",6075047901,7,11,7,6,"traj0"
"595",6075047902,7,7,7,0,"traj0"
"596",6075060100,10,7,7,3,"traj2"
"597",6075060400,7,4,15,5.14,"traj0"
"598",6075060502,3,6,6,2.31,"traj0"
"599",6075061000,11,13,14,4.59,"traj0"
"600",6081600100,13,1,1,3,"traj0"
"601",6081600200,11,11,11,0,"traj0"
"602",6081600300,9,14,9,5.26,"traj0"
"603",6081600500,11,9,9,2.07,"traj0"
"604",6081600600,11,11,11,0,"traj0"
"605",6081600700,11,11,11,0,"traj0"
"606",6081600800,15,15,15,0,"traj0"
"607",6081600900,1,14,13,4.96,"traj0"
"608",6081601000,11,13,13,2.63,"traj0"
"609",6081601200,11,13,13,2.63,"traj0"
"610",6081601300,6,6,6,0,"traj0"
"611",6081601400,9,13,9,5.26,"traj0"
"612",6081601501,9,9,9,0,"traj0"
